"","Category","RGS","AC","PValue"
"123","Trafficking: ER/Golgi: mannosidase",1,6,0.298219412094277
"112","Signaling: unassigned",5,70,0.311380474062119
"73","Non-coding RNA: small RNA: argonaute",2,21,0.314849665071282
"42","Metabolism: glycolysis",3,37,0.315913071015338
"38","Metabolism: amino acid: unassigned",1,7,0.332835629435637
"106","Signaling: phosphatase: dual specificity",1,7,0.332835629435637
"16","Cytoskeleton: motor protein: dynein",2,22,0.333235725707057
"32","Lysosome: Vacuolar ATPase",2,22,0.333235725707057
"3","Cell cycle: chromosome dynamics: meiotic functions",2,23,0.351474159025294
"115","Stress response: C-type Lectin",15,256,0.361725161600607
"74","Nucleic acid: binding: unassigned",6,93,0.363239818178795
"104","Signaling: lipid: phospholipase: unassigned",1,8,0.365743361514888
"139","Transmembrane transport: heme",1,8,0.365743361514888
"146","Transmembrane transport: sulfate",1,8,0.365743361514888
"93","Proteolysis proteasome: unassigned",2,24,0.369534769044576
"118","Stress response: ER",2,24,0.369534769044576
"67","Muscle function",4,62,0.411336881507439
"2","Cell cycle: chromosome dynamics: kinetochore protein",1,10,0.426766687101328
"98","Signaling: FERM",1,10,0.426766687101328
"96","Signaling: calcium: EF hand",1,11,0.455038722788511
"121","Stress response: pathogen: caenacin",1,11,0.455038722788511
"155","Unassigned: TransThyretin-Related family domain",2,29,0.456333690424989
"45","Metabolism: lipid: binding",4,67,0.466622278300713
"62","mRNA functions: binding: PUF",1,12,0.481915559621012
"105","Signaling: MAPK",2,32,0.504986570248947
"57","Metabolism: mitochondria: transporter",1,13,0.507466089528595
"39","Metabolism: amino sugar",1,14,0.531755800722525
"53","Metabolism: mitochondria: complex III",1,14,0.531755800722525
"85","Proteolysis general: serine",2,34,0.535804856780747
"12","Cytoskeleton: claudin",1,15,0.554846945959804
"61","mRNA functions: binding: KH",1,15,0.554846945959804
"150","Unassigned: Glycosyltransferase family A ",3,56,0.561685821635157
"36","Metabolism: amino acid: breakdown",2,36,0.56527201282671
"54","Metabolism: mitochondria: complex IV",1,16,0.576798702484338
"119","Stress response: heavy metal",1,16,0.576798702484338
"25","Extracellular material: chitinase",2,37,0.579490311299255
"51","Metabolism: lipid: sterol",3,59,0.595548052811315
"63","mRNA functions: binding: ZF",1,17,0.597667324057004
"88","Proteolysis proteasome: E2",1,17,0.597667324057004
"56","Metabolism: mitochondria: translocase",1,19,0.636366419890411
"70","Neuronal function: synaptic function: neurotransmitter metabolism",1,19,0.636366419890411
"137","Transmembrane transport: calcium channel",1,20,0.654296049468427
"126","Transcription factor: T box",1,21,0.671341109410191
"90","Proteolysis proteasome: E3: RING finger",3,68,0.686415493045842
"7","Cell cycle: meiotic/mitotic spindle",1,23,0.702950028591225
"66","mRNA functions: processing: polyadenylation",1,23,0.702950028591225
"6","Cell cycle: kinase",1,24,0.717594856489805
"91","Proteolysis proteasome: E3: unassigned",2,49,0.723536999354258
"149","Unassigned: BTB and MATH domain",1,25,0.731517259987614
"100","Signaling: heteromeric G protein: arrestin",1,26,0.744752896819722
"47","Metabolism: lipid: glycerolipid ",1,27,0.757335663685532
"48","Metabolism: lipid: lipase",1,27,0.757335663685532
"52","Metabolism: lipid: unassigned",1,27,0.757335663685532
"120","Stress response: oxidative",1,28,0.769297783272055
"151","Unassigned: hydrolase",1,29,0.780669886974353
"20","Development: general",3,81,0.789263332536223
"113","Signaling: WNT",1,30,0.791481093525998
"10","Chaperone: DnaJ domain",1,31,0.801759083741925
"92","Proteolysis proteasome: ubiquitin peptidase",1,31,0.801759083741925
"129","Transcription: chromatin structure: histone",3,85,0.814645841458769
"111","Signaling: small GTPase: Rab",1,34,0.82965046332964
"94","Pseudogene",98,2081,0.830849106917404
"27","Extracellular material: cuticlin",1,35,0.83804605208818
"65","mRNA functions: processing: nuclease",1,35,0.83804605208818
"131","Transmembrane protein: ER",1,35,0.83804605208818
"28","Extracellular material: matrix",2,67,0.860151011672372
"43","Metabolism: insulin",1,39,0.86768755957174
"23","DNA: replication",2,69,0.870725869614965
"153","Unassigned: prion domain",2,69,0.870725869614965
"122","Stress response: pathogen: unassigned",3,96,0.871380270360413
"59","Metabolism: nucleotide",3,111,0.923795250373147
"147","Transmembrane transport: unassigned",1,51,0.92784050890587
"117","Stress response: detoxification: GST",1,52,0.931395023904126
"127","Transcription factor: ZF",1,53,0.934774344337744
"89","Proteolysis proteasome: E3: F box",16,437,0.936244168927797
"30","Extracellular material: secreted protein",1,54,0.937987110214432
"22","Development: somatic",3,122,0.948876261494903
"132","Transmembrane protein: seven transmembrane receptor: sri ",1,59,0.951826327508714
"95","Ribosome: EIF",1,60,0.954198747621426
"148","Unassigned",185,4113,0.968316031465691
"75","Nucleic acid: binding: zinc finger",3,136,0.969715685545921
"58","Metabolism: mitochondria: unassigned",1,72,0.975011421146564
"79","Protein modification: methyltransferase",1,76,0.979580205127637
"116","Stress response: detoxification: CYP",1,82,0.984915306798495
"144","Transmembrane transport: potassium channel",2,121,0.98523640074067
"134","Transmembrane protein: seven transmembrane receptor: unassigned",3,155,0.98546128312951
"40","Metabolism: carbohydrate",1,83,0.985657670026955
"99","Signaling: hedgehog-like",1,89,0.989404210072688
"77","Protein modification: carbohydrate",2,129,0.989582943974346
"125","Transcription factor: homeodomain",1,97,0.992922885995149
"71","Non-coding RNA: linc",3,174,0.99317097565987
"69","Neuronal function: synaptic function: neuropeptide",2,139,0.993289144861861
"133","Transmembrane protein: seven transmembrane receptor: str",1,194,0.999946534984201
"72","Non-coding RNA: ncRNA",3,7850,1
