"","Category","RGS","AC","PValue"
"43","mRNA functions: binding",5,103,0.496017159960654
"116","Transcription: unassigned",1,15,0.504361517719346
"115","Transcription: chromatin structure",5,105,0.512232005597131
"13","Cytoskeleton: microtubule",6,128,0.516339379155871
"18","DNA: nuclease",1,17,0.545983820056453
"65","Proteolysis proteasome: E2",1,17,0.545983820056453
"86","Signaling: TGF beta",1,17,0.545983820056453
"60","Proteolysis general: cysteine",2,41,0.555970339272962
"52","Nucleic acid: binding",10,229,0.577027659823646
"34","Metabolism: glutathione",1,20,0.601952181689747
"122","Transmembrane transport: calcium channel",1,20,0.601952181689747
"114","Transcription: chromatin modification",5,117,0.604312750128464
"111","Transcription factor: T box",1,21,0.61902974059586
"119","Transmembrane transport: ABC",2,50,0.659495303237926
"29","Lysosome: autophagy",1,25,0.680316436205599
"23","Extracellular material: galectin",1,26,0.694029821874871
"20","Extracellular material: chondroitin sulfotransferase",1,27,0.707154548014287
"39","Metabolism: nucleotide",4,111,0.731649714559151
"100","Trafficking: endocytosis",1,29,0.731738078441365
"101","Trafficking: ER/Golgi",3,87,0.747240671225059
"83","Signaling: S/T kinase",2,66,0.794749931345534
"19","Extracellular material: chitinase",1,37,0.811085656320899
"35","Metabolism: glycolysis",1,37,0.811085656320899
"82","Signaling: phosphatase",6,196,0.867704094290387
"126","Transmembrane transport: major facilitator",2,89,0.905961739310533
"68","Ribosome: EIF",1,60,0.931034704774752
"1","Cell cycle: chromosome dynamics",1,65,0.944596890657542
"38","Metabolism: mitochondria",7,366,0.996431919129431
"44","mRNA functions: processing",4,296,0.998991280054347
"50","Non-coding RNA: linc",1,174,0.999527829564684
"51","Non-coding RNA: ncRNA",7,7850,1
"67","Pseudogene",20,2081,1
"117","Transmembrane protein: seven transmembrane receptor",6,1473,1
